,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Fn1,954799.364377974,-0.014066344951769017,0.042037946139962055,-0.3346106611616139,0.7379188016410906,0.9271252755305134,0.9271252755305134,0.13199142400258831,0.032861578913018205,954799.364377974,19.864839591428552,-0.014066344951769017,0.014066344951769017,normal
Col1a1,901203.9304974745,0.01258605194837211,0.04302654367816814,0.2925183124750578,0.7698903605376849,0.937149958494287,0.937149958494287,0.1135711179493182,0.028190909714452466,901203.9304974745,19.781495681024797,0.01258605194837211,0.01258605194837211,normal
Col1a2,653458.1604883875,-0.06503042721561761,0.0400828624803404,-1.6223997786463813,0.10471777653619348,0.40356166219483464,0.40356166219483464,0.97997958769788,0.39409009785649796,653458.1604883875,19.317737548557016,-0.06503042721561761,0.06503042721561761,normal
Thbs1,665828.6368862807,0.03557555538933781,0.07596213672573901,0.46833273684471527,0.6395466610920142,0.8950557509025198,0.8950557509025198,0.19412776406177382,0.04814991266705327,665828.6368862807,19.344793562453688,0.03557555538933781,0.03557555538933781,normal
Bgn,320281.3380019599,0.03261387578750463,0.03783780303757967,0.8619389385560586,0.38872112010161,0.7561628955083359,0.7561628955083359,0.4103618625217956,0.12138463703872564,320281.3380019599,18.288984717196474,0.03261387578750463,0.03261387578750463,normal
Sparc,349987.3350238028,0.0490153091802891,0.03820381466252905,1.2829951567209374,0.19949377290272552,0.5727753005419072,0.5727753005419072,0.7000706560483723,0.24201571812624137,349987.3350238028,18.41694731282653,0.0490153091802891,0.0490153091802891,normal
Col3a1,275746.384580451,-0.23082100391106472,0.03563423181887259,-6.477507501335202,9.325013864630512e-11,5.798887031000456e-09,5.798887031000456e-09,10.03035051380045,8.23665535172618,275746.384580451,18.072987676588166,-0.23082100391106472,0.23082100391106472,sig
Acta2,395817.5280309748,0.12841307476072894,0.04078447152990302,3.148577631233421,0.0016406713888248458,0.02022164438784929,0.02022164438784929,2.784978395370582,1.6941835312607632,395817.5280309748,18.59447962010364,0.12841307476072894,0.12841307476072894,sig
Eef1a1,253853.14135367892,-0.03434479255114949,0.04836659951920378,-0.7100931819180925,0.4776463540673561,0.8173604715081955,0.8173604715081955,0.3208935329281122,0.08758636909686239,253853.14135367892,17.953640270693747,-0.03434479255114949,0.03434479255114949,normal
mt-Co1,185660.65049828024,0.14098361089123096,0.04737324446248225,2.976017633811939,0.0029201807033306004,0.032114945500213786,0.032114945500213786,2.5345902731984538,1.4932928106567775,185660.65049828024,17.50231632336885,0.14098361089123096,0.14098361089123096,sig
