,log2FC_Treat_6h_vs_Control,padj_Treat_6h_vs_Control,log2FC_Treat_24h_vs_Control,padj_Treat_24h_vs_Control,log2FC_Treat_72h_vs_Control,padj_Treat_72h_vs_Control,Cluster,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Fn1,-0.014066344951769017,0.9271252755305134,0.2687663323626642,1.98283803275329e-11,0.7008937173607108,3.481952745323195e-18,,14.588709265887061,14.566406152851586,14.59483167053062,14.51430949673915,14.817875653269759,14.910456525775542,15.313723669690102,15.11363290435862
Col1a1,0.01258605194837211,0.937149958494287,0.06163464091860145,0.34919352668514086,0.3886706889677808,6.349118309383468e-10,,14.447579619571746,14.513689881620506,14.50667771064066,14.463449643767282,14.604775573874349,14.51687668887469,14.763592197598117,14.855894502213355
Col1a2,-0.06503042721561761,0.40356166219483464,0.1648235122915579,3.9304637493512604e-05,0.6342644724149106,1.077277811175136e-24,,14.012435554993408,14.097802616099127,13.981203865414443,13.983720467983241,14.254341922345434,14.224047484710695,14.59493293542965,14.665395982246114
Thbs1,0.03557555538933781,0.8950557509025198,-0.27772045549727836,5.303310597793473e-19,0.5709248461291953,4.33693708067983e-17,,14.047286430195602,14.017889339856795,14.123849359399035,13.992542671069025,13.780604552074603,13.766846192053542,14.58689432113241,14.497956936580893
Bgn,0.03261387578750463,0.7561628955083359,0.09371119974790214,0.04953196482619141,0.8382706858528822,1.0698999755577814e-44,,12.94836702827994,13.008065325153607,12.995189927291461,13.010618445863846,13.121708463732563,13.05964120623863,13.7215048082904,13.79236340564397
Sparc,0.0490153091802891,0.5727753005419072,0.10683785888487517,0.009215612817949683,0.2992223975494178,1.6263899515653075e-06,,13.086737285101126,13.109415947280686,13.101580292776292,13.175736317896547,13.25435742711358,13.192526319862411,13.29241983774154,13.382532602408968
Col3a1,-0.23082100391106472,5.798887031000456e-09,-0.0368178177591451,0.570944514082827,1.084744930235731,5.775076142248309e-78,2.0,12.89237911051189,12.886960958901536,12.64532454600982,12.656130731808942,12.889809192948201,12.85329405992113,13.903245863234464,13.926074066874927
Acta2,0.12841307476072894,0.02022164438784929,-0.708631322593511,1.2546281836246285e-85,-1.6597023996669529,4.320307863024863e-159,4.0,13.274396800718765,13.19371898077203,13.356512491149397,13.353309576578997,12.570778831326626,12.518751483442454,11.503269204954236,11.528200278388024
Eef1a1,-0.03434479255114949,0.8173604715081955,-0.032339188001348725,0.6368117222643349,0.16108276944127078,0.014168947739210657,,12.67294299180665,12.680328825900236,12.547405726913881,12.716821303016406,12.677165768024624,12.648853359630841,12.747999508067968,12.808097723970485
mt-Co1,0.14098361089123096,0.032114945500213786,0.2865400085675501,0.2369961117644025,0.6345982406026673,2.980350515133312e-22,,12.132253332823487,12.139991100281,12.330156289672997,12.204138276165539,12.298002431286609,12.570664610497788,12.62928938815522,12.790337112995308
