,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Gm43605,0,0,0,0,0,0,0,0
Gm6366,2,2,0,0,2,0,0,0
Gm16162,0,0,0,0,0,0,0,0
Gm14609,0,0,0,0,0,0,0,0
Slfn4,2,0,0,0,0,0,0,0
Gm47702,0,0,0,0,0,0,0,0
Gm49049,0,0,0,0,0,0,0,0
Rars2,879,608,611,595,706,692,621,620
Cxcr2,0,0,0,0,0,0,0,0
Gm37711,0,0,0,0,2,0,0,0
Gm25976,0,0,0,0,0,0,0,0
Zbtb41,2579,1788,1889,1996,1970,1946,1678,1320
Gm49598,0,0,0,0,0,0,0,0
Gm25179,0,0,0,0,0,0,0,0
4930505G20Rik,0,0,0,0,0,0,0,0
Gm44737,0,0,0,0,2,0,0,0
Gipc1,4011,2708,2762,2907,2797,2705,1761,1817
Rfc1,2928,2035,1886,1880,1965,2106,1579,1438
Copz2,5885,4015,3672,4053,4117,4240,4099,4428
Ctu2,483,340,427,400,406,331,202,248
Gm48708,0,0,0,0,0,0,0,0
Gm46190,0,0,0,0,0,2,0,0
Methig1,0,0,0,0,0,0,0,0
Dnttip1,542,344,376,324,378,373,350,350
Gm45631,0,0,0,6,0,2,2,2
Gm5947,0,0,0,0,0,0,0,0
Gm29018,0,0,0,0,0,0,0,0
Coq7,585,411,404,491,392,395,204,251
Sh2d7,0,0,0,0,0,0,0,0
Gm48531,0,0,0,0,0,0,0,0
Gm10052,2377,1915,1599,1678,2359,2215,729,723
Gm22847,0,0,0,0,0,0,0,0
Peli2,2425,1593,2081,2006,1414,1349,1410,1192
Gm48877,0,0,0,0,0,0,0,0
Tas2r130,0,0,0,0,0,0,0,0
Kcnq1ot1,50,42,47,32,26,66,69,79
Gm42556,0,0,0,0,0,0,0,0
Adcy3,2595,1838,1556,1604,1946,2029,1943,1863
Gm49432,0,0,0,0,0,0,0,0
Gm4866,2,0,2,0,0,2,4,0
Gm37055,0,0,0,0,0,0,0,0
Gm12001,0,0,0,0,0,0,0,0
Pgpep1,1848,1369,1094,1056,1414,1490,1922,1880
Gm7529,0,0,0,0,0,0,0,0
Gm9066,0,0,0,0,0,0,0,0
Gm12274,0,0,0,0,0,0,0,0
Rbmx2-ps,4,2,2,9,5,2,0,5
Mef2b,2,0,2,0,0,0,10,2
Gm49380,2,0,8,3,2,2,3,0
Gm31706,0,0,0,0,0,0,0,0
Taok1,6513,4462,4217,4288,4797,5336,4474,3983
Vmn1r91,0,0,0,0,0,0,0,0
Vsir,906,694,500,452,550,525,1034,977
B230362B09Rik,0,0,0,0,0,0,0,0
Gm14339,0,0,0,0,0,0,0,0
Gm10550,2,2,0,0,1,0,0,0
Gm12239,0,0,0,0,0,0,2,0
Mcc,566,386,412,353,575,579,716,874
Gm22053,0,0,0,0,0,0,0,0
Gm43380,0,0,0,0,0,0,0,0
Gm29674,8,10,0,2,8,10,4,8
Gm19082,0,0,0,0,0,0,0,0
mt-Tn,5,7,5,1,2,3,8,7
Gm17091,0,0,0,0,0,0,0,0
Dars,5381,3730,4018,4485,3765,3791,3231,3149
Ear-ps1,0,0,0,0,0,0,0,0
Gm7904,0,0,0,0,0,0,1,0
Rpl24,30,31,21,24,15,25,20,26
Olfr1506,0,0,0,0,0,0,0,0
Gm12031,6,2,0,3,0,2,6,2
Olfr1315-ps1,0,0,0,0,2,2,2,0
Ccdc162,32,25,16,12,15,27,22,28
Esp18,0,0,0,0,0,0,0,0
Xrra1,14,8,20,8,15,12,21,30
Gm8973,0,0,0,3,0,0,0,0
Rbl2,1592,1018,930,980,1325,1213,1533,1571
Gm28313,0,0,0,0,0,0,0,0
Gm25520,0,0,2,0,0,0,0,0
Gm44554,0,0,0,0,0,0,0,0
Cacybp,3931,2613,2563,2741,2730,2933,1874,1736
Rab25,0,0,0,0,0,1,0,9
Snora9,0,0,0,0,0,0,0,0
Gm48158,0,0,0,0,0,0,0,0
Trbv24,0,0,0,0,0,0,0,0
Gm13617,0,0,0,0,0,0,0,0
Gm5970,4,0,0,0,0,0,10,14
Gm13391,2,0,0,0,0,0,0,0
Gm10362,152,87,112,123,98,130,111,116
Tet3,2041,1447,1150,1001,1657,1801,1274,1171
Gm4454,0,0,0,0,0,0,0,0
Gm8107,0,0,0,0,0,0,0,0
Gm48600,0,0,0,0,0,0,0,6
Gm47850,2,0,0,0,2,0,0,2
Spry2,945,688,879,846,682,697,723,854
Gm45500,0,0,0,0,0,0,0,0
Coq8a,143,112,82,102,144,116,441,464
Apoc4,0,0,0,0,0,0,0,0
Srsf9,2912,1927,1799,1846,2165,2214,1542,1657
Trav6-5,0,0,0,0,0,0,0,0
Gm17096,2,6,0,2,11,3,29,8
Clic3,4,0,0,2,9,4,0,8
Gm12055,0,0,0,0,0,0,0,0
C530043K16Rik,0,0,0,0,0,0,2,2
Gm3375,170,147,106,107,137,127,51,67
Tbc1d22bos,0,0,0,0,0,0,0,2
Gm49700,26,35,15,22,18,30,24,25
Fam78a,6,6,4,4,20,2,2,2
Gm17124,0,0,0,0,0,0,0,0
Gm32511,0,0,0,0,0,0,0,0
0610043K17Rik,2,0,0,0,0,0,2,4
Gm2965,4,6,5,2,5,3,2,5
Kctd17,6348,4850,5026,4898,5287,5051,4140,4240
Osbpl5,5178,3505,3530,3411,3674,3555,3254,3658
Gm5750,0,0,0,0,0,0,0,0
P2rx1,2,0,0,0,0,0,0,0
Magef1,50,30,22,27,18,34,43,56
Crebrf,1316,1039,699,795,1158,1124,1760,1569
Olfr1278,0,0,0,0,0,0,0,0
Gm10985,0,0,0,0,0,0,0,1
Gm49720,0,0,0,0,0,0,0,0
Zfp69,34,20,19,30,22,35,24,28
Bod1l,4439,3227,3135,2526,2645,3049,2341,1898
Gm13798,0,0,0,0,0,0,0,0
4930593C16Rik,0,0,0,0,0,0,0,0
Gm11528,0,0,0,0,0,0,0,0
Grn,25217,18644,16438,17380,15756,16107,17227,19315
Gm38373,0,0,0,0,0,0,0,0
Gm9560,0,0,0,0,0,0,0,0
Nudt16l2,0,0,0,0,0,0,0,0
Gm49549,0,0,0,0,0,4,0,0
Gm21832,0,0,0,0,0,0,0,0
Kcnb2,0,0,0,0,0,0,0,0
Cyp2c55,0,0,2,0,0,0,0,0
Olfr930,0,0,0,0,0,0,0,0
Gm12164,5,15,4,6,12,2,7,15
Gm26632,0,0,2,0,0,0,0,0
Cyp2b26-ps,0,0,0,0,0,0,0,0
Gm44864,0,0,0,0,0,0,0,0
Plekha6,185,132,66,100,111,141,297,307
Gstm7,95,93,52,64,86,76,136,124
Gm31282,0,0,0,2,2,1,2,2
Gm46223,2,0,0,0,0,0,0,0
Dgkk,2,4,0,6,12,4,2,0
Bcl2a1c,0,0,0,0,0,0,0,0
Nrp2,11271,7976,7532,7728,8464,8354,8939,7374
Gm19667,2,0,2,0,0,2,0,2
Gm46424,0,0,0,0,0,2,0,0
Olfr1127-ps1,0,0,0,0,0,0,0,0
Mir93,0,0,0,0,0,0,0,0
Gm8839,0,0,0,2,0,0,0,0
Gm45126,0,0,0,0,0,0,0,0
4930488N24Rik,0,0,0,0,0,0,0,0
Gm9165,13,24,10,11,4,12,8,10
Vmn2r15,0,0,0,0,0,0,0,0
1700029J03Rik,0,0,0,0,0,0,0,0
Sar1a,13681,9790,9743,10774,9723,9651,9961,10243
Tmem204,351,243,187,207,337,288,471,489
Gm6430,30,23,23,39,31,23,5,12
Gm9742,12,4,2,5,3,4,7,6
Gm36933,0,0,0,0,0,0,0,0
Gm50228,0,0,0,0,0,0,0,0
Gm12417,0,0,0,0,0,0,0,0
Gm38825,0,0,0,0,0,0,0,0
Tha1,35,29,17,26,29,26,26,44
Gm24666,0,0,0,0,0,0,0,0
Mrm1,380,311,268,293,265,310,288,326
Gm38331,1,0,1,4,0,2,2,2
Sort1,773,608,419,388,692,720,1473,1357
Gm11007,21,6,1,7,7,14,10,3
Gm43097,4,0,4,0,0,4,0,0
Kdm5a,3306,2193,2080,2219,2579,2791,2787,2388
Elf4,2541,1815,1675,1571,1911,2119,1910,1801
Pla2g4d,0,0,0,0,0,0,0,0
Gm45791,0,0,0,0,0,0,0,0
Gas8,1429,1041,934,1022,1059,1017,769,819
D14Ertd670e,0,0,0,0,0,0,0,2
Vmn2r32,0,0,0,0,0,0,0,0
Krtap31-2,0,0,0,0,0,0,0,0
Nsun3,600,516,455,490,463,454,800,652
Dctn4,4751,3330,3112,3381,3517,3570,4020,3933
Uncx,0,0,0,0,0,0,0,0
Gm29656,0,0,0,0,0,0,0,0
Gm26061,0,0,0,0,0,0,0,0
Gm44667,3,2,0,0,4,0,14,12
Gm38364,0,0,0,4,0,2,2,0
Gm37541,0,2,0,2,0,0,0,0
Gm49132,0,0,0,0,0,1,0,0
Gm21742,4,3,0,0,1,3,4,8
D830039M14Rik,4,0,2,5,6,6,0,2
2610318N02Rik,42,28,27,55,44,35,2,2
Trav16,2,0,0,0,0,0,0,0
4930453O03Rik,0,0,0,0,0,0,0,0
Gm8296,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0
Gm37222,0,0,0,0,0,0,0,0
Gm18861,0,0,0,0,0,0,0,0
9530022L04Rik,0,0,0,0,0,0,0,0
Zfp746,1311,924,933,941,971,1014,949,1049
Gm6439,19,13,30,10,19,17,30,4
Gm14168,8,9,2,0,8,7,6,6
Btf3-ps18,4,6,8,2,10,10,10,8
Gm47923,0,0,0,0,0,0,0,0
Abhd17b,841,634,638,618,571,664,606,608
Fmnl3,5068,3594,2901,2953,3896,3741,2469,2743
Gm25407,0,0,0,0,0,0,0,0
Gm24355,0,0,0,0,0,0,0,0
Gm11447,0,0,0,0,0,0,0,0
