,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),12/483,9.139953889565584e-07,0.0007485622235554213,0,0,6.786144315504755,94.36432471708144,BTC;IL11;HCK;CSF1R;ID2;GPER1;LEF1;FGF18;C5AR1;FGFR3;FGF2;EREG
1,GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),10/434,1.5293442994630136e-05,0.0042748631642999,0,0,6.129245283018868,67.96160116602553,CSF1R;SEMA7A;WNT11;GPER1;LEF1;NOG;FGF18;CXCR4;LGR6;FGF2
2,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),13/766,1.996505782578186e-05,0.0042748631642999,0,0,4.594695292902464,49.72161880637508,IL11;CSF1R;MYOCD;HMGA1;SMAD6;FGF2;EREG;BTC;HCK;ID2;GPER1;FGF18;FGFR3
3,GO_Biological_Process_2023,Fibroblast Growth Factor Receptor Signaling Pathway (GO:0008543),4/39,2.230788176298528e-05,0.0042748631642999,0,0,28.049382716049383,300.42489105213207,NOG;FGF18;FGF2;FGFR3
4,GO_Biological_Process_2023,Regulation Of MAPK Cascade (GO:0043408),7/204,2.6098065716116847e-05,0.0042748631642999,0,0,8.98255889626448,94.7987769186584,DUSP4;DUSP5;IL11;CSF1R;GPER1;FGFR3;FGF2
5,GO_Biological_Process_2023,Positive Regulation Of Cellular Process (GO:0048522),11/594,4.212489436883387e-05,0.0053276105468435,0,0,4.929117797042325,49.66022928532664,BTC;IL11;HCK;CSF1R;DLX2;GPER1;LEF1;FGF18;FGFR3;FGF2;EREG
6,GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),8/308,4.972420834370737e-05,0.0053276105468435,0,0,6.7930735930735935,67.31269295203697,HCK;GREM2;CSF1R;GPER1;LEF1;CXCR4;IRF5;EREG
7,GO_Biological_Process_2023,Positive Regulation Of MAPK Cascade (GO:0043410),8/310,5.2040151861719424e-05,0.0053276105468435,0,0,6.747398297067171,66.55292927268783,IL11;CSF1R;SEMA7A;GPER1;FGF18;C5AR1;FGFR3;FGF2
8,GO_Biological_Process_2023,Cardiac Muscle Tissue Development (GO:0048738),4/52,7.04039172528728e-05,0.0064067564700114,0,0,20.43930041152263,195.42549925011673,NPPB;MYLK2;MYOCD;HEY1
9,GO_Biological_Process_2023,Regulation Of ERK1 And ERK2 Cascade (GO:0070372),7/244,8.113178564022443e-05,0.0066446932439343,0,0,7.451368603267338,70.18768774979317,DUSP4;CSF1R;SEMA7A;GPER1;C5AR1;FGFR3;FGF2
10,GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),6/179,0.00011510326580251255,0.0085699613356598,0,0,8.667008121753128,78.60699775358285,CSF1R;SEMA7A;GPER1;C5AR1;FGFR3;FGF2
11,GO_Biological_Process_2023,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),9/456,0.0001367313465640893,0.009331914402999,0,0,5.157541504768633,45.889187018794566,WNT11;HEY1;ID2;ID1;LEF1;ATOH8;HMGA1;ID3;EREG
12,GO_Biological_Process_2023,Positive Regulation Of Macromolecule Metabolic Process (GO:0010604),8/364,0.00015842718346246987,0.0099809125581356,0,0,5.708157011527798,49.9476038476213,MYLK2;ID2;GPER1;LEF1;NOG;FGF18;PKP1;FGF2
13,GO_Biological_Process_2023,Positive Regulation Of Gene Expression (GO:0010628),9/480,0.0002005798330820624,0.0114144818199471,0,0,4.888702648340597,41.62387225922678,MYLK2;ID2;GPER1;LEF1;NOG;FGF18;PKP1;FGF2;EREG
14,GO_Biological_Process_2023,Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),4/70,0.00022498710417413723,0.0114144818199471,0,0,14.85147774036663,124.74450419407457,RGS4;GPER1;RGS16;KCTD12
15,GO_Biological_Process_2023,Negative Regulation Of Cell Differentiation (GO:0045596),6/207,0.00025340285670249547,0.0114144818199471,0,0,7.449083695446816,61.68236113668747,MYOCD;HEY1;ID2;GPER1;NOG;SMAD6
16,GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),20/2028,0.0002600030909343616,0.0114144818199471,0,0,2.743947287771989,22.6507828246976,IL11;MYOCD;DLX2;LEF1;NOG;HMGA1;SMAD9;HOXC13;SMAD6;ETV4;MEOX1;FGF2;HEY1;ID2;GPER1;ID1;ATOH8;ID3;IRF5;SP7
17,GO_Biological_Process_2023,Regulation Of Endothelial Cell Chemotaxis To Fibroblast Growth Factor (GO:2000544),2/6,0.00026480482854578146,0.0114144818199471,0,0,119.94578313253012,987.9355417477028,FGF18;FGF2
18,GO_Biological_Process_2023,Regulation Of Smooth Muscle Cell Differentiation (GO:0051150),2/6,0.00026480482854578146,0.0114144818199471,0,0,119.94578313253012,987.9355417477028,MYOCD;OLFM2
19,GO_Biological_Process_2023,Negative Chemotaxis (GO:0050919),3/31,0.00030555948951030155,0.0125126610954468,0,0,25.984756097560975,210.3041433362322,SEMA7A;UNC5C;LGR6
20,GO_Biological_Process_2023,Positive Regulation Of Cell Motility (GO:2000147),6/221,0.00035965730320357655,0.0137227035221575,0,0,6.959081542537533,55.188014354123446,CSF1R;SEMA7A;GPER1;LEF1;CXCR4;LGR6
21,GO_Biological_Process_2023,Positive Regulation Of Epidermal Growth Factor Receptor Signaling Pathway (GO:0045742),3/33,0.0003686196306318272,0.0137227035221575,0,0,24.25,191.7143224791207,BTC;GPER1;EREG
22,GO_Biological_Process_2023,Positive Regulation Of Phosphorylation (GO:0042327),6/231,0.0004548632708550241,0.0161970877752289,0,0,6.646413502109705,51.14756608019029,CSF1R;GPER1;FGF18;FGFR3;FGF2;EREG
23,GO_Biological_Process_2023,Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098),3/38,0.0005612928576068921,0.0184357729788274,0,0,20.78048780487805,155.5475154201939,BTC;CSF1R;EREG
24,GO_Biological_Process_2023,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),12/938,0.0005910278991358621,0.0184357729788274,0,0,3.3709281339684605,25.058290939594013,IL11;MYOCD;HEY1;GPER1;LEF1;ATOH8;HMGA1;SMAD9;IRF5;SP7;ETV4;FGF2
25,GO_Biological_Process_2023,Positive Regulation Of Cardiocyte Differentiation (GO:1905209),2/9,0.000630282836882989,0.0184357729788274,0,0,68.53012048192771,505.02188772388456,MYOCD;GPER1
26,GO_Biological_Process_2023,Hematopoietic Stem Cell Differentiation (GO:0060218),2/9,0.000630282836882989,0.0184357729788274,0,0,68.53012048192771,505.02188772388456,SP7;MEOX1
27,GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Contraction (GO:0045987),2/9,0.000630282836882989,0.0184357729788274,0,0,68.53012048192771,505.02188772388456,MYOCD;GPER1
