,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),38/111,3.238548548027701e-23,9.641159027478467e-20,0,0,11.086153940659743,574.0890750294078,CDCA5;NCAPG2;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;NSL1;SMC2;CCNB1;NUSAP1;FLNA;KNTC1;SPDL1;CEP55;DLGAP5;SPAG5;PLK1;KIF23;KIF22;TUBG1;KNSTRN;NDC80;SGO1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;CENPI;PRC1;CENPK;CHMP4C;KIF2C;NCAPD2;NCAPD3
1,GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),38/118,3.9347801784059112e-22,5.856920295557198e-19,0,0,10.11238789237668,498.40943425274475,NCAPG2;KIF14;CDCA8;NCAPG;SMC4;NCAPH;AURKB;RXFP3;SMC2;AURKA;RACGAP1;NUSAP1;ECT2;E2F7;E2F8;GEN1;PLK4;STIL;EDN1;RRM1;SPAG5;CEP295;CDC7;KIF23;CDC6;NDC80;CDC25B;EREG;CIT;DBF4;INCENP;SASS6;BIRC5;NCAPD2;NCAPD3;KIF20B;RAD18;MAD2L1
2,GO_Biological_Process_2023,DNA-templated DNA Replication (GO:0006261),29/69,5.936109150834772e-21,5.8905989806783734e-18,0,0,15.312708102108768,713.1623232075489,PRIM2;BLM;MCM7;PRIM1;MCM10;RECQL4;CDC45;ORC1;POLD1;TOPBP1;POLE;RFC5;GINS1;WDHD1;GINS2;RRM1;RFC4;GINS3;RPA1;POLA1;POLA2;RAD51;POLE2;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2
3,GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),54/288,1.0803751446041496e-18,8.040692013716383e-16,0,0,4.962065331928345,205.27678892911,TOP2A;MCM7;MCM8;HMGB2;HMGB3;MCM10;BRCA1;EXO1;CHEK1;PCLAF;TOPBP1;KPNA2;POLE;GEN1;RFC5;WDHD1;RFC4;LIG1;NEIL3;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2;PRIM2;BLM;PRIM1;TYMS;UNG;RECQL4;RAD51AP1;CDC45;ORC1;POLD1;RBBP8;BARD1;POLQ;DUT;RRM1;XRCC2;RPA1;FANCA;DONSON;RPA2;TICRR;FAM111A;POLA1;POLA2;RAD51;UBE2T;POLE2;CDK1;RAD18
4,GO_Biological_Process_2023,DNA Replication (GO:0006260),27/73,7.0074534681166e-18,4.1722377949166234e-15,0,0,12.36573739708219,488.4411529983795,BLM;MCM7;MCM8;RECQL4;POLD1;CHEK1;PCLAF;POLE;RFC5;WDHD1;DUT;RFC4;DONSON;RPA1;RPA2;BAZ1A;TICRR;FAM111A;POLA1;POLA2;POLE2;CDK1;MCM4;MCM5;DNA2;MCM6;MCM2
5,GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),23/59,5.02866598587498e-16,2.495056439991636e-13,0,0,13.407509494058557,472.29570144731423,STIL;PLK1;CDCA8;TTK;KIF11;WDR62;TUBG1;AURKB;NDC80;CENPE;CCNB1;ESPL1;CENPH;INCENP;NUF2;STMN1;NUSAP1;CDK1;TACC3;RCC1;BIRC5;DLGAP5;SPC25
6,GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),18/34,9.58463114650778e-16,4.076206703307666e-13,0,0,23.504111842105264,812.800406407759,TOP2A;SPAG5;NCAPG2;PLK1;TUBG1;SMC4;KNSTRN;NSL1;NDC80;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;CENPK;NUSAP1;KNTC1
7,GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),16/28,7.573565649702219e-15,2.8183131173954383e-12,0,0,27.801604668125456,903.94449948624,ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;CDC20;CENPF;NUF2;KNTC1;FBXO5;TRIP13;BUB1;SPC24;MAD2L1;SPC25
8,GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),19/45,3.106569486321355e-14,1.0275841511976305e-11,0,0,15.276365785696193,475.13579810590784,SPAG5;UBE2C;NCAPG2;PLK1;TUBG1;SMC4;KNSTRN;NSL1;NDC80;SGO1;KIF18A;KIF18B;ESPL1;CENPI;KIFC1;UBE2S;CENPK;NUSAP1;KNTC1
9,GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),15/26,4.396510594808469e-14,1.0907010033954008e-11,0,0,28.40387481371088,873.5719668406144,ZWILCH;PLK1;BUB1B;TTK;HASPIN;NDC80;CDC20;CENPF;NUF2;KNTC1;TRIP13;BUB1;SPC24;MAD2L1;SPC25
