,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,Reactome_2022,Cell Cycle R-HSA-1640170,141/654,1.0409017634108888e-55,1.1959961261591113e-52,0,0,6.464463863503287,818.4146532837361,ERCC6L;NUP107;ZWILCH;DSCC1;GMNN;BUB1B;SMC4;PSMD8;CDC20;TUBB6;TUBB3;MYC;CHEK1;RCC1;NEK2;OIP5;KNTC1;FBXO5;GTSE1;BORA;VRK1;ESCO2;KNL1;CDC25C;TUBA4A;CDC25B;SGO1;CCNE2;CCNE1;DKC1;NHP2;CHMP4C;DNA2;KIF20A;PIF1;BLM;CDCA5;CDCA8;NCAPG;HMMR;PKMYT1;NCAPH;SKA1;CCNB2;BRIP1;CCNB1;CLSPN;BARD1;PLK4;CDT1;UBE2C;PLK1;CDC7;CDC6;NDC80;DHFR;POLA1;TPX2;POLA2;KIF18A;UBE2S;CDK1;TOP2A;MCM7;MCM8;NCAPG2;MCM10;BRCA1;FOXM1;BRCA2;CHTF18;LMNB1;TUBA1C;EXO1;MIS18BP1;NUF2;MYBL2;TK1;SPDL1;TOPBP1;POLE;NDC1;RFC5;RFC4;HAUS6;KIF23;RANGAP1;TUBG1;MASTL;CCNA2;TUBB2B;DBF4;RBL1;ESPL1;INCENP;MCM3;BIRC5;MCM4;MCM5;KIF2C;MCM6;PRIM2;PCNA;PRIM1;LIN9;TYMS;CENPA;AURKB;AURKA;PSMC3IP;CDC45;HAUS8;POLD1;NSD2;RBBP8;BUB1;H2AZ1;GINS1;CENPU;GINS2;CENPW;RRM2;GINS3;TUBB4B;CENPE;CENPF;RAD51;MIS18A;CENPH;CENPI;POLE2;CENPK;CENPM;CENPN;NCAPD2;NCAPD3;CENPQ;SPC24;LPIN3;MAD2L1;SPC25
1,Reactome_2022,"Cell Cycle, Mitotic R-HSA-69278",119/523,1.8240768047961773e-49,1.0479321243554038e-46,0,0,6.77947406331262,760.8305143256117,ERCC6L;NUP107;ZWILCH;GMNN;BUB1B;SMC4;PSMD8;CDC20;TUBB6;TUBB3;MYC;RCC1;NEK2;KNTC1;FBXO5;GTSE1;BORA;VRK1;ESCO2;KNL1;CDC25C;TUBA4A;CDC25B;SGO1;CCNE2;CCNE1;CHMP4C;DNA2;KIF20A;CDCA5;CDCA8;NCAPG;HMMR;PKMYT1;NCAPH;SKA1;CCNB2;CCNB1;PLK4;CDT1;UBE2C;PLK1;CDC7;CDC6;NDC80;DHFR;POLA1;TPX2;POLA2;KIF18A;UBE2S;CDK1;TOP2A;MCM7;MCM8;NCAPG2;MCM10;FOXM1;LMNB1;TUBA1C;NUF2;MYBL2;TK1;SPDL1;POLE;NDC1;RFC5;RFC4;HAUS6;KIF23;RANGAP1;TUBG1;MASTL;CCNA2;TUBB2B;DBF4;RBL1;ESPL1;INCENP;MCM3;BIRC5;MCM4;MCM5;KIF2C;MCM6;PRIM2;PCNA;PRIM1;LIN9;TYMS;CENPA;AURKB;AURKA;CDC45;HAUS8;POLD1;BUB1;H2AZ1;GINS1;CENPU;GINS2;RRM2;GINS3;TUBB4B;CENPE;CENPF;CENPH;CENPI;POLE2;CENPK;CENPM;CENPN;NCAPD2;NCAPD3;CENPQ;SPC24;LPIN3;MAD2L1;SPC25
2,Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,70/271,6.076140657752314e-33,2.327161871919136e-30,0,0,7.641038991091056,566.8194422104694,ERCC6L;NUP107;MCM7;ZWILCH;MCM8;BUB1B;MCM10;BRCA1;CDC20;PSMD8;EXO1;CHEK1;NUF2;KNTC1;SPDL1;TOPBP1;GTSE1;RFC5;RFC4;KNL1;CDC25C;RANGAP1;SGO1;CCNA2;DBF4;CCNE2;INCENP;CCNE1;MCM3;BIRC5;MCM4;KIF2C;MCM5;DNA2;MCM6;BLM;CDCA8;PKMYT1;CENPA;SKA1;AURKB;CCNB2;BRIP1;CCNB1;CDC45;NSD2;RBBP8;CLSPN;BUB1;BARD1;CENPU;UBE2C;PLK1;CDC7;CDC6;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;UBE2S;CENPK;CDK1;CENPM;CENPN;CENPQ;SPC24;MAD2L1;SPC25
3,Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,38/106,4.7423789814063434e-24,1.3622483624089721e-21,0,0,11.90444473753627,639.334196460767,ERCC6L;NUP107;ZWILCH;CDCA5;BUB1B;CDCA8;CENPA;SKA1;AURKB;CDC20;CCNB2;CCNB1;NUF2;KNTC1;SPDL1;BUB1;CENPU;PLK1;KNL1;RANGAP1;NDC80;SGO1;CENPE;KIF18A;CENPF;CENPH;INCENP;CENPI;CENPK;CDK1;BIRC5;CENPM;KIF2C;CENPN;CENPQ;SPC24;MAD2L1;SPC25
4,Reactome_2022,Mitotic Prometaphase R-HSA-68877,49/186,8.592363100318893e-24,1.9745250404532816e-21,0,0,7.68633023190303,408.22997959136177,ERCC6L;NUP107;ZWILCH;BUB1B;SMC4;CDC20;NUF2;KNTC1;NEK2;SPDL1;HAUS6;KNL1;RANGAP1;TUBG1;TUBA4A;SGO1;INCENP;BIRC5;KIF2C;CDCA5;CDCA8;NCAPG;CENPA;NCAPH;SKA1;AURKB;CCNB2;CCNB1;HAUS8;BUB1;PLK4;CENPU;PLK1;TUBB4B;NDC80;CENPE;KIF18A;CENPF;CENPH;CENPI;CENPK;CDK1;CENPM;CENPN;NCAPD2;CENPQ;SPC24;MAD2L1;SPC25
5,Reactome_2022,M Phase R-HSA-68886,70/380,1.9402888639972018e-23,3.7156531745546405e-21,0,0,4.925731432858215,257.5991063351247,ERCC6L;NUP107;ZWILCH;NCAPG2;BUB1B;SMC4;LMNB1;CDC20;PSMD8;TUBA1C;TUBB6;TUBB3;NUF2;RCC1;KNTC1;NEK2;FBXO5;SPDL1;NDC1;KIF23;VRK1;HAUS6;KNL1;TUBG1;MASTL;RANGAP1;TUBA4A;SGO1;TUBB2B;ESPL1;INCENP;CHMP4C;BIRC5;KIF2C;KIF20A;CDCA5;CDCA8;NCAPG;CENPA;NCAPH;SKA1;AURKB;CCNB2;CCNB1;HAUS8;BUB1;PLK4;H2AZ1;CENPU;UBE2C;PLK1;TUBB4B;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;UBE2S;CENPK;CDK1;CENPM;CENPN;NCAPD2;NCAPD3;CENPQ;SPC24;LPIN3;MAD2L1;SPC25
6,Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,54/233,3.388713496718142e-23,5.562331153898778e-21,0,0,6.505663120838754,336.59654837597134,ERCC6L;NUP107;ZWILCH;BUB1B;LMNB1;CDC20;PSMD8;TUBA1C;TUBB6;TUBB3;NUF2;RCC1;KNTC1;FBXO5;SPDL1;NDC1;VRK1;KNL1;RANGAP1;TUBA4A;SGO1;TUBB2B;ESPL1;INCENP;CHMP4C;BIRC5;KIF2C;CDCA5;CDCA8;CENPA;SKA1;AURKB;CCNB2;CCNB1;BUB1;CENPU;UBE2C;PLK1;TUBB4B;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;UBE2S;CENPK;CDK1;CENPM;CENPN;CENPQ;SPC24;MAD2L1;SPC25
7,Reactome_2022,Mitotic Anaphase R-HSA-68882,53/232,1.776531356868667e-22,2.5515431613026222e-20,0,0,6.377907161921992,319.41968111543224,ERCC6L;NUP107;ZWILCH;BUB1B;LMNB1;CDC20;PSMD8;TUBA1C;TUBB6;TUBB3;NUF2;RCC1;KNTC1;SPDL1;NDC1;VRK1;KNL1;RANGAP1;TUBA4A;SGO1;TUBB2B;ESPL1;INCENP;CHMP4C;BIRC5;KIF2C;CDCA5;CDCA8;CENPA;SKA1;AURKB;CCNB2;CCNB1;BUB1;CENPU;UBE2C;PLK1;TUBB4B;NDC80;CENPE;CENPF;KIF18A;CENPH;CENPI;UBE2S;CENPK;CDK1;CENPM;CENPN;CENPQ;SPC24;MAD2L1;SPC25
8,Reactome_2022,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,34/93,5.604497705772015e-22,7.155075404368941e-20,0,0,12.22711107748184,598.3129263851533,ERCC6L;NUP107;ZWILCH;BUB1B;CDCA8;CENPA;AURKB;SKA1;CDC20;NUF2;KNTC1;SPDL1;BUB1;CENPU;PLK1;KNL1;RANGAP1;NDC80;SGO1;CENPE;CENPF;KIF18A;CENPH;INCENP;CENPI;CENPK;BIRC5;CENPM;KIF2C;CENPN;CENPQ;SPC24;MAD2L1;SPC25
9,Reactome_2022,Mitotic Spindle Checkpoint R-HSA-69618,36/110,2.6421105584139958e-21,2.8490861187437345e-19,0,0,10.337021585343733,489.79608468340257,ERCC6L;NUP107;ZWILCH;BUB1B;CDCA8;CENPA;SKA1;AURKB;CDC20;NUF2;KNTC1;SPDL1;BUB1;CENPU;UBE2C;PLK1;KNL1;RANGAP1;NDC80;SGO1;CENPE;KIF18A;CENPF;CENPH;UBE2S;INCENP;CENPI;CENPK;BIRC5;CENPM;KIF2C;CENPN;CENPQ;SPC24;MAD2L1;SPC25
