,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,Reactome_2022,Extracellular Matrix Organization R-HSA-1474244,40/291,1.4244891429887417e-08,1.344717750981372e-05,0,0,3.016447858716801,54.49776375590679,FBN2;COL14A1;COL11A1;LTBP4;LRP4;ICAM5;NID2;COMP;VTN;ADAMTS5;EFEMP1;CAPN6;ADAMTS1;CAPN5;ADAMTS8;ERC2;ADAMTS9;COL28A1;VCAM1;MUSK;COL24A1;COL25A1;ITGA2;MMP2;COL23A1;ITGA1;ASPN;DCN;BMP4;MFAP4;COL3A1;MMP13;MFAP2;COL8A2;COL6A6;TLL1;COL9A2;COL6A5;AGRN;MATN4
1,Reactome_2022,Collagen Chain Trimerization R-HSA-8948216,11/44,1.01459466787179e-05,0.0037098292763939,0,0,6.201047806155861,71.3023530325553,COL28A1;COL3A1;COL24A1;COL14A1;COL25A1;COL11A1;COL23A1;COL8A2;COL6A6;COL6A5;COL9A2
2,Reactome_2022,Defective B3GALTL Causes PpS R-HSA-5083635,10/37,1.213934472082634e-05,0.0037098292763939,0,0,6.885472322174972,77.93706574072401,SEMA5A;SPON2;ADAMTS15;ADAMTS5;ADAMTS1;ADAMTS17;ADAMTSL2;THBS2;ADAMTS8;ADAMTS9
3,Reactome_2022,O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,10/38,1.5719615577940428e-05,0.0037098292763939,0,0,6.639212112715548,73.43367763086493,SEMA5A;SPON2;ADAMTS15;ADAMTS5;ADAMTS1;ADAMTS17;ADAMTSL2;THBS2;ADAMTS8;ADAMTS9
4,Reactome_2022,NCAM Signaling For Neurite Out-Growth R-HSA-375165,11/57,0.00013223742671864805,0.0221190921629422,0,0,4.445524045442897,39.70258210466901,SPTA1;SPTBN5;RPS6KA5;CACNB4;ST8SIA2;GFRA1;COL6A6;COL6A5;COL9A2;AGRN;GFRA2
5,Reactome_2022,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,12/67,0.00014058745018819248,0.0221190921629422,0,0,4.058138911236257,35.99439695332448,COL28A1;COL3A1;COL24A1;COL14A1;COL25A1;COL11A1;COL23A1;COL8A2;COL6A6;TLL1;COL6A5;COL9A2
6,Reactome_2022,Regulation Of FZD By Ubiquitination R-HSA-4641263,6/20,0.0003799320944140471,0.0416810072879973,0,0,7.941767909509845,62.54553628297774,FZD4;RSPO2;FZD8;RSPO3;LGR5;LRP6
7,Reactome_2022,ECM Proteoglycans R-HSA-3000178,10/55,0.00043951800905826674,0.0416810072879973,0,0,4.127357976229419,31.903783204722725,COMP;VTN;MUSK;ITGA2;LRP4;COL9A2;AGRN;MATN4;ASPN;DCN
8,Reactome_2022,Degradation Of Extracellular Matrix R-HSA-1474228,15/109,0.0004606406200557784,0.0416810072879973,0,0,2.9706974694699735,22.823548966409152,COL14A1;COL25A1;MMP2;COL23A1;DCN;ADAMTS5;MMP13;CAPN6;ADAMTS1;CAPN5;TLL1;COL9A2;ADAMTS8;ERC2;ADAMTS9
9,Reactome_2022,LGI-ADAM Interactions R-HSA-5682910,5/14,0.0004839163136681509,0.0416810072879973,0,0,10.28754340277778,78.53097662720563,STX1B;LGI4;LGI2;ADAM23;ADAM22
10,Reactome_2022,NCAM1 Interactions R-HSA-419037,8/37,0.00048568970356776625,0.0416810072879973,0,0,5.117903340200614,39.04929852320392,CACNB4;ST8SIA2;GFRA1;COL6A6;COL6A5;COL9A2;AGRN;GFRA2
11,Reactome_2022,Regulation Of IGF Transport And Uptake By IGFBPs R-HSA-381426,16/123,0.0005723984877534351,0.0450286810366035,0,0,2.7845854360601896,20.78881029924401,IGFBP5;IGFBP4;IGFBP3;MMP2;IGF2;IGF1;CP;CHRDL1;C3;BMP4;PENK;GPC3;IGFALS;GAS6;SCG2;PAPPA2
12,Reactome_2022,Collagen Formation R-HSA-1474290,13/90,0.0006780133754869881,0.0492342020353628,0,0,3.1396615195827793,22.90804905360888,COL28A1;COL24A1;COL14A1;COL25A1;COL11A1;COL23A1;COL3A1;MMP13;COL8A2;COL6A6;TLL1;COL6A5;COL9A2
