gene_id	symbol
ENSG00000253826	RP11-304M2.1
ENSG00000224777	AC069287.4
ENSG00000230724	AC069287.3
ENSG00000226743	AC069287.2
ENSG00000222225	U6
ENSG00000177951	BET1L
ENSG00000188076	SCGB1C1
ENSG00000177947	ODF3
ENSG00000177963	RIC8A
ENSG00000142082	SIRT3
ENSG00000185627	PSMD13
ENSG00000174885	NLRP6
ENSG00000142102	ATHL1
ENSG00000206013	IFITM5
ENSG00000185201	IFITM2
ENSG00000185885	IFITM1
ENSG00000251661	AC136475.1
ENSG00000142089	IFITM3
ENSG00000182272	B4GALNT4
ENSG00000184363	PKP3
ENSG00000185187	SIGIRR
ENSG00000185101	ANO9
ENSG00000243562	AC138230.1
ENSG00000174915	PTDSS2
ENSG00000023191	RNH1
ENSG00000174775	HRAS
ENSG00000161328	LRRC56
ENSG00000185522	C11orf35
ENSG00000099849	RASSF7
ENSG00000247095	AP006284.3
ENSG00000199038	hsa-mir-210
ENSG00000246532	AP006284.1
ENSG00000070047	PHRF1
ENSG00000185507	IRF7
ENSG00000099834	CDHR5
ENSG00000070031	SCT
ENSG00000215211	AP006284.2
ENSG00000069696	DRD4
ENSG00000177030	DEAF1
ENSG00000177042	TMEM80
ENSG00000177106	EPS8L2
ENSG00000177156	TALDO1
ENSG00000177225	PDDC1
ENSG00000177236	AP006621.1
ENSG00000184524	CEND1
ENSG00000177542	SLC25A22
ENSG00000177595	LRDD
ENSG00000177600	RPLP2
ENSG00000199785	SNORA52
ENSG00000177666	PNPLA2
ENSG00000177685	EFCAB4A
ENSG00000177697	CD151
ENSG00000177700	POLR2L
ENSG00000214063	TSPAN4
ENSG00000250397	AP006623.1
ENSG00000177830	CHID1
ENSG00000183020	AP2A2
ENSG00000222561	U6
ENSG00000184956	MUC6
ENSG00000198788	MUC2
ENSG00000117983	MUC5B
ENSG00000215182	MUC5AC
ENSG00000227631	AC136297.1
ENSG00000078902	TOLLIP
ENSG00000174672	BRSK2
ENSG00000182208	AC091196.1
ENSG00000184545	DUSP8
ENSG00000205872	AP006285.1
ENSG00000233930	AP006285.2
ENSG00000205869	KRTAP5-1
ENSG00000197001	AP006285.3
ENSG00000205867	KRTAP5-2
ENSG00000196224	KRTAP5-3
ENSG00000241598	KRTAP5-4
ENSG00000185940	KRTAP5-5
ENSG00000231487	AP006285.7
ENSG00000205866	FAM99A
ENSG00000205865	FAM99B
ENSG00000227306	AP006285.6
ENSG00000205864	KRTAP5-6
ENSG00000244242	AC068580.3
ENSG00000250644	RP11-295K3.1
ENSG00000117984	CTSD
ENSG00000235027	AC068580.6
ENSG00000229512	AC068580.5
ENSG00000230834	AC068580.7
ENSG00000230980	AC139143.1
ENSG00000230080	AC139143.2
ENSG00000149043	SYT8
ENSG00000130598	TNNI2
ENSG00000130592	LSP1
ENSG00000249086	AC051649.12
ENSG00000184682	C11orf89
ENSG00000229671	AC051649.16
ENSG00000130595	TNNT3
ENSG00000252187	AC051649.1
ENSG00000214026	MRPL23
ENSG00000226416	AC051649.7
ENSG00000232987	AC051649.6
ENSG00000130600	H19
ENSG00000211502	hsa-mir-675
ENSG00000233458	AC123789.1
ENSG00000167244	IGF2
ENSG00000240801	AC132217.4
ENSG00000129965	INS
ENSG00000207805	hsa-mir-483
ENSG00000099869	IGF2AS
ENSG00000180176	TH
ENSG00000183734	ASCL2
ENSG00000110665	C11orf21
ENSG00000064201	TSPAN32
ENSG00000207308	U6
ENSG00000238184	AC129929.5
ENSG00000236264	AC129929.6
ENSG00000199550	Y_RNA
ENSG00000110651	CD81
ENSG00000184281	TSSC4
ENSG00000223961	AC124057.3
ENSG00000070985	TRPM5
ENSG00000230483	AC124057.5
ENSG00000053918	KCNQ1
ENSG00000236041	AC013791.2
ENSG00000229414	KCNQ1OT1
ENSG00000237941	KCNQ1DN
ENSG00000129757	CDKN1C
ENSG00000235987	SLC22A18AS
ENSG00000110628	SLC22A18
ENSG00000240232	AC013791.7
ENSG00000181649	PHLDA2
ENSG00000205531	NAP1L4
ENSG00000224636	AC131971.3
ENSG00000207008	SNORA54
ENSG00000183562	AC131971.1
ENSG00000110619	CARS
ENSG00000247473	AC108448.2
ENSG00000201616	U1
ENSG00000236710	AC108448.2
ENSG00000021762	OSBPL5
ENSG00000234791	AC108448.3
ENSG00000182170	MRGPRG
ENSG00000236301	C11orf36
ENSG00000224513	AC109309.4
ENSG00000184350	MRGPRE
ENSG00000236987	AC109309.5
ENSG00000232390	AC109309.6
ENSG00000005801	ZNF195
ENSG00000189398	OR7E12P
ENSG00000223756	TSSC2
ENSG00000166492	AC123788.4
ENSG00000182139	AC123788.1
ENSG00000237226	AC127526.2
ENSG00000221019	AC127526.1
ENSG00000223688	AC127526.3
ENSG00000231800	AP006294.1
ENSG00000230851	AP006294.2
ENSG00000238161	OR7E117P
ENSG00000182048	TRPC2
ENSG00000167311	ART5
ENSG00000129744	ART1
ENSG00000201279	Y_RNA
ENSG00000200201	Y_RNA
ENSG00000129749	CHRNA10
ENSG00000110713	NUP98
ENSG00000238686	snoU13
ENSG00000251934	U6
ENSG00000238304	U7
ENSG00000148985	PGAP2
ENSG00000249390	AC090587.1
ENSG00000250404	AC090587.2
ENSG00000177105	RHOG
ENSG00000228661	AC090587.5
ENSG00000229368	AC090587.4
ENSG00000167323	STIM1
ENSG00000230593	AC090804.1
ENSG00000206976	SNORA7
ENSG00000224555	AC087441.2
ENSG00000240385	RP11-438N5.1
ENSG00000248835	AC015689.1
ENSG00000167325	RRM1
ENSG00000231548	OR55B1P
ENSG00000237565	AC018793.1
ENSG00000236175	AC018793.4
ENSG00000186223	AC018793.5
ENSG00000186232	AC018793.3
ENSG00000229542	AC018793.2
ENSG00000221996	OR52B4
ENSG00000175800	OR52B3P
ENSG00000132109	TRIM21
ENSG00000237272	OR51R1P
ENSG00000171999	AC009758.1
ENSG00000221030	AC010930.1
ENSG00000181963	OR52K2
ENSG00000225101	AC010930.2
ENSG00000196778	OR52K1
ENSG00000226616	OR52M2P
ENSG00000197790	OR52M1
ENSG00000171987	C11orf40
ENSG00000226288	OR52I2
ENSG00000232268	OR52I1
ENSG00000167333	TRIM68
ENSG00000197428	OR51D1
ENSG00000180785	OR51E1
ENSG00000237526	OR51A9P
ENSG00000180723	AC090719.1
ENSG00000167332	OR51E2
ENSG00000197674	OR51C1P
ENSG00000167346	MMP26
ENSG00000197426	AC103710.1
ENSG00000201980	SNORA62
ENSG00000188069	OR51F1
ENSG00000176951	OR51N1P
ENSG00000231070	OR52Y1P
ENSG00000176937	OR52R1
ENSG00000176925	OR51F2
ENSG00000197984	OR51A8P
ENSG00000176922	OR51S1
ENSG00000176904	OR51H1P
ENSG00000198217	OR51H2P
ENSG00000176900	OR51T1
ENSG00000197023	OR51A6P
ENSG00000176895	OR51A7
ENSG00000176893	OR51G2
ENSG00000176879	OR51G1
ENSG00000227023	OR51A3P
ENSG00000205497	OR51A4
ENSG00000205496	OR51A2
ENSG00000225003	OR51A5P
ENSG00000176798	OR51L1
ENSG00000224300	OR51P1P
ENSG00000230261	OR52J2P
ENSG00000205495	OR52J3
ENSG00000176787	OR52E2
ENSG00000236621	OR52E1P
ENSG00000237354	OR52S1P
ENSG00000226157	OR52E3P
ENSG00000203560	OR52J1P
ENSG00000236897	AC113331.9
ENSG00000248953	AC113331.1
ENSG00000205494	OR52A4
ENSG00000253962	AC113331.2
ENSG00000171944	OR52A5
ENSG00000182070	OR52A1
ENSG00000176752	OR51A1P
ENSG00000176748	OR52Z1P
ENSG00000176742	OR51V1
ENSG00000224091	AC104389.16
ENSG00000197231	AC104389.2
ENSG00000221031	CoTC_ribozyme
ENSG00000244734	HBB
ENSG00000223609	HBD
ENSG00000229988	HBBP1
ENSG00000213934	HBG1
ENSG00000196565	HBG2
ENSG00000213931	HBE1
ENSG00000229093	OR51AB1P
ENSG00000183251	OR51B4
ENSG00000167355	AC104389.28
ENSG00000223735	OR51B3P
ENSG00000184881	OR51B2
ENSG00000236359	OR51B8P
ENSG00000242180	OR51B5
ENSG00000176239	OR51B6
ENSG00000230087	AC104389.31
ENSG00000236248	AC104389.32
ENSG00000184698	OR51M1
ENSG00000184321	OR51J1
ENSG00000167360	OR51Q1
ENSG00000167359	OR51I1
ENSG00000248424	OR51K1P
ENSG00000187918	OR51I2
ENSG00000230484	OR51A10P
ENSG00000181609	OR52D1
ENSG00000175520	UBQLN3
ENSG00000175518	UBQLNL
ENSG00000224295	AC087380.14
ENSG00000249633	OR52V1P
ENSG00000181616	OR52H1
ENSG00000248553	OR52H2P
ENSG00000231049	OR52B5P
ENSG00000233646	OR52T1P
ENSG00000229534	AC015691.7
ENSG00000239920	AC015691.13
ENSG00000187747	OR52B6
ENSG00000121236	TRIM6
ENSG00000242885	TRIM34
ENSG00000239456	TRIM6-TRIM34
ENSG00000132256	TRIM5
ENSG00000132274	TRIM22
ENSG00000232381	OR52U1P
ENSG00000181109	OR52P1P
ENSG00000181023	OR56B1
ENSG00000181074	OR52N4
ENSG00000181017	AC131574.1
ENSG00000181009	OR52N5
ENSG00000181001	OR52N1
ENSG00000236965	OR52N3P
