gene_id	symbol
LOFF_G0000001	AL627309.3
LOFF_G0000002	AP006222.2
CHM13_G0000001	AC114498.1
LOFF_G0000003	AL731661.1
LOFF_G0000004	WBP1LP6
CHM13_G0000002	OR4F21
LOFF_G0000005	AC092192.1
CHM13_G0000003	CICP18
CHM13_G0000004	CICP3
CHM13_G0000005	AL669831.1
LOFF_G0000006	AC018638.1
CHM13_G0000006	AC240565.2
LOFF_G0000007	AC093752.3
LOFF_G0000008	AC093392.2
LOFF_G0000009	AC093392.2
LOFF_G0000010	AC093392.2
CHM13_G0000007	RNU6-1199P
CHM13_G0000008	AL669831.2
LOFF_G0000011	LINC01409
CHM13_G0000009	AL669831.6
CHM13_G0000010	AL669831.4
CHM13_G0000011	FAM87B
CHM13_G0000012	LINC01128
CHM13_G0000013	LINC00115
CHM13_G0000014	AL669831.7
CHM13_G0000015	FAM41C
CHM13_G0000016	TUBB8P11
CHM13_G0000017	AL669831.5
CHM13_G0000018	AL645608.6
CHM13_G0000019	AL645608.2
CHM13_G0000020	AL645608.4
CHM13_G0000021	LINC02593
CHM13_G0000022	SAMD11
CHM13_G0000023	NOC2L
CHM13_G0000024	KLHL17
CHM13_G0000025	PLEKHN1
CHM13_G0000026	PERM1
CHM13_G0000027	AL645608.7
CHM13_G0000028	HES4
CHM13_G0000029	ISG15
CHM13_G0000030	AL645608.3
CHM13_G0000031	AL645608.1
CHM13_G0000032	AGRN
CHM13_G0000033	AL645608.5
CHM13_G0000034	AL390719.1
CHM13_G0000035	AL645608.8
CHM13_G0000036	RNF223
CHM13_G0000037	C1orf159
CHM13_G0000038	AL390719.3
CHM13_G0000039	LINC01342
CHM13_G0000040	MIR200B
CHM13_G0000041	MIR200A
CHM13_G0000042	MIR429
CHM13_G0000043	AL390719.2
CHM13_G0000044	TTLL10-AS1
CHM13_G0000045	TTLL10
CHM13_G0000046	TNFRSF18
CHM13_G0000047	TNFRSF4
CHM13_G0000048	SDF4
CHM13_G0000049	B3GALT6
CHM13_G0000050	C1QTNF12
CHM13_G0000051	AL162741.1
CHM13_G0000052	UBE2J2
CHM13_G0000053	LINC01786
CHM13_G0000054	SCNN1D
CHM13_G0000055	ACAP3
CHM13_G0000056	MIR6726
CHM13_G0000057	PUSL1
CHM13_G0000058	INTS11
CHM13_G0000059	MIR6727
CHM13_G0000060	AL139287.1
CHM13_G0000061	CPTP
CHM13_G0000062	TAS1R3
CHM13_G0000063	DVL1
CHM13_G0000064	MIR6808
CHM13_G0000065	MXRA8
CHM13_G0000066	AURKAIP1
CHM13_G0000067	NDUFB4P8
CHM13_G0000068	CCNL2
CHM13_G0000069	MRPL20-AS1
CHM13_G0000070	MRPL20
CHM13_G0000071	RN7SL657P
CHM13_G0000072	MRPL20-DT
CHM13_G0000073	ANKRD65
CHM13_G0000074	AL391244.1
CHM13_G0000075	TMEM88B
CHM13_G0000076	LINC01770
CHM13_G0000077	VWA1
CHM13_G0000078	ATAD3C
CHM13_G0000079	ATAD3B
CHM13_G0000080	AL645728.2
CHM13_G0000081	ATAD3A
CHM13_G0000082	TMEM240
CHM13_G0000083	SSU72
CHM13_G0000084	AL645728.1
CHM13_G0000085	AL691432.3
CHM13_G0000086	FNDC10
CHM13_G0000087	AL691432.4
CHM13_G0000088	AL691432.2
CHM13_G0000089	MIB2
CHM13_G0000090	MMP23B
CHM13_G0000091	CDK11B
CHM13_G0000092	FO704657.1
CHM13_G0000093	SLC35E2B
CHM13_G0000094	AL691432.1
CHM13_G0000095	MMP23A
CHM13_G0000096	CDK11A
CHM13_G0000097	AL031282.2
CHM13_G0000098	AL031282.1
CHM13_G0000099	SLC35E2A
CHM13_G0000100	NADK
CHM13_G0000101	MSTRG.15
CHM13_G0000102	AL109917.1
CHM13_G0000103	CALML6
CHM13_G0000104	TMEM52
CHM13_G0000105	CFAP74
CHM13_G0000106	AL391845.2
CHM13_G0000107	GABRD
CHM13_G0000108	AL391845.1
CHM13_G0000109	PRKCZ
CHM13_G0000110	AL590822.2
CHM13_G0000111	PRKCZ-AS1
CHM13_G0000112	FAAP20
CHM13_G0000113	AL590822.1
CHM13_G0000114	SKI
CHM13_G0000115	AL590822.3
CHM13_G0000116	MORN1
CHM13_G0000117	AL589739.1
CHM13_G0000118	AL513477.1
CHM13_G0000119	AL513477.2
CHM13_G0000120	RER1
CHM13_G0000121	PEX10
CHM13_G0000122	PLCH2
CHM13_G0000123	AL139246.1
CHM13_G0000124	AL139246.4
CHM13_G0000125	PANK4
CHM13_G0000126	HES5
CHM13_G0000127	AL139246.5
CHM13_G0000128	TNFRSF14-AS1
CHM13_G0000129	TNFRSF14
CHM13_G0000130	AL139246.2
CHM13_G0000131	AL139246.3
CHM13_G0000132	PRXL2B
CHM13_G0000133	MMEL1
