gene_id,pw6hr_1_Hair_germ,pw12hr_2_Hair_germ,pw72hr_4_Hair_germ,pw48hr_2_Hair_germ,pw72hr_2_Hair_germ,pw12hr_4_Hair_germ,pw36hr_3_Hair_germ,pw48hr_4_Hair_germ,ctrl_3_Hair_germ,pw12hr_3_Hair_germ,ctrl_4_Hair_germ,pw48hr_3_Hair_germ,pw36hr_4_Hair_germ,pw24hr_1_Hair_germ,pw72hr_3_Hair_germ,pw36hr_2_Hair_germ,ctrl_2_Hair_germ,pw6hr_3_Hair_germ,pw24hr_2_Hair_germ,ctrl_1_Hair_germ,pw24hr_4_Hair_germ,pw36hr_1_Hair_germ,pw12hr_1_Hair_germ,pw6hr_2_Hair_germ,pw24hr_3_Hair_germ,pw48hr_1_Hair_germ,pw6hr_4_Hair_germ,pw72hr_1_Hair_germ
ENSMUSG00000000001.5,2712,951,2662,2341,1911,683,2107,3302,1612,1484,1329,2436,3127,1387,2779,2368,1541,2181,802,273,2824,2444,1350,2275,820,2076,3069,3010
ENSMUSG00000000003.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028.16,140,50,651,328,370,0,114,254,68,10,14,170,216,107,511,59,118,59,13,5,171,418,71,30,113,374,62,509
ENSMUSG00000000031.20,38,7,0,14,0,0,43,0,41,0,54,30,57,21,9,46,114,9,0,0,28,55,0,39,13,4,28,16
ENSMUSG00000000037.18,112,32,305,187,200,122,232,200,124,17,75,233,163,71,285,122,157,46,74,29,178,193,12,95,32,158,71,258
ENSMUSG00000000049.12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056.8,336,68,666,499,311,25,497,459,319,62,241,516,643,117,528,524,326,194,108,67,366,407,114,262,66,450,289,426
ENSMUSG00000000058.7,2702,1129,648,1229,785,764,2966,2052,1440,1292,1686,1678,2157,1702,779,3216,1519,2966,1162,327,2830,1737,1219,2724,1173,1121,4094,1070
ENSMUSG00000000078.8,5868,1699,1668,1210,1574,881,7992,3354,1121,804,1103,2495,3143,1108,1652,6915,1021,2328,1060,231,3099,3094,2013,5111,1008,914,3963,2097
ENSMUSG00000000085.17,1395,681,1106,1524,1537,522,867,1895,1116,1015,996,1596,1366,1376,1375,807,1242,840,948,187,1490,1343,918,884,686,1609,1221,2111
ENSMUSG00000000088.8,420,135,330,597,467,48,208,338,167,59,141,288,719,216,609,185,213,352,120,28,590,401,204,363,108,519,471,639
ENSMUSG00000000093.7,7,0,6,30,22,0,38,21,4,0,0,6,4,0,9,43,12,24,4,0,120,6,0,18,6,16,14,59
ENSMUSG00000000094.13,3,0,0,1,5,0,53,15,26,0,27,1,0,5,0,18,18,7,0,0,0,0,0,0,0,3,4,7
ENSMUSG00000000103.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120.7,235,130,170,521,323,226,170,393,143,517,68,400,516,431,233,143,70,357,222,1,846,285,258,217,170,455,231,412
ENSMUSG00000000125.6,44,11,12,143,49,0,11,40,61,9,0,33,475,58,27,21,8,46,41,0,180,104,6,56,21,114,69,90
ENSMUSG00000000126.12,11,2,0,0,0,18,11,24,35,0,7,7,0,11,13,49,0,0,44,0,3,10,15,8,9,5,2,5
ENSMUSG00000000127.16,537,547,671,644,537,274,564,735,468,367,368,487,972,394,883,534,624,428,537,139,992,596,554,548,309,517,652,793
ENSMUSG00000000131.16,1181,586,1281,1031,910,370,745,1080,746,805,780,846,953,831,1227,869,807,761,533,102,1436,994,644,1016,525,1037,1555,1302
ENSMUSG00000000134.18,593,229,421,338,311,153,323,460,300,254,424,417,553,235,357,236,313,434,147,59,437,294,403,432,189,395,961,280
ENSMUSG00000000142.16,687,254,646,888,733,452,934,495,697,555,705,730,910,802,492,978,691,398,492,122,1464,800,496,749,380,880,994,955
ENSMUSG00000000148.18,317,133,231,277,105,48,127,288,169,190,239,192,131,181,252,203,296,149,135,68,271,212,111,250,104,207,430,238
ENSMUSG00000000149.11,694,323,1005,740,694,62,426,749,576,229,477,573,697,325,942,412,513,457,150,101,674,692,370,492,296,737,751,916
ENSMUSG00000000154.17,20,24,36,60,14,17,23,50,10,0,40,24,9,92,41,51,77,37,26,4,42,18,10,23,25,44,29,26
ENSMUSG00000000157.17,15,0,0,0,0,0,7,0,12,0,8,0,0,0,0,3,11,3,0,0,0,0,14,1,27,0,0,0
ENSMUSG00000000159.17,0,0,0,0,0,0,2,0,8,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,11,0
ENSMUSG00000000167.15,42,17,89,53,30,4,29,27,69,7,2,25,20,0,50,3,21,40,22,0,12,26,9,5,9,33,27,13
ENSMUSG00000000168.11,497,167,426,526,530,166,490,654,280,311,203,563,526,326,647,393,368,417,300,29,755,602,217,326,231,586,696,946
ENSMUSG00000000171.6,485,234,663,680,501,139,476,983,453,391,366,600,590,559,771,528,309,352,312,57,1071,943,399,723,382,762,637,847
ENSMUSG00000000182.10,21,15,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,0,1
ENSMUSG00000000183.7,0,0,0,4,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
ENSMUSG00000000184.13,2094,2251,4824,4412,3467,1255,1705,3439,1939,2200,1231,3330,4098,4256,5056,1862,2526,2465,2373,367,8337,3444,2791,1896,2534,4594,3708,4716
ENSMUSG00000000194.14,708,357,698,937,659,284,659,1033,605,371,575,753,1089,482,665,708,717,609,335,125,993,790,388,496,384,824,883,772
ENSMUSG00000000197.9,3,0,0,3,2,0,44,5,40,0,7,10,0,0,0,16,8,14,0,0,13,0,16,0,1,2,8,0
ENSMUSG00000000202.10,10,0,0,0,0,0,6,1,0,0,39,0,0,0,0,8,5,1,7,0,0,0,0,4,0,0,31,0
ENSMUSG00000000204.17,0,0,9,14,0,0,7,4,0,0,7,1,0,0,0,6,0,0,0,0,19,0,0,0,0,0,4,0
ENSMUSG00000000214.12,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215.12,0,0,0,1,1,0,5,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216.9,377,90,168,107,135,93,77,516,255,202,226,212,143,250,170,207,303,456,146,32,393,193,112,377,77,75,564,226
ENSMUSG00000000223.14,8,2,12,59,7,7,33,10,1,1,0,9,1,0,8,27,4,17,0,0,27,15,2,0,0,2,39,9
ENSMUSG00000000244.18,7,7,0,4,3,0,24,0,40,0,23,6,0,10,0,21,84,6,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000000247.12,2213,743,7620,5472,5592,478,1927,4575,2933,963,2138,4172,2806,1795,6629,2136,2767,690,1096,816,3482,3627,1174,1535,1022,5708,963,9004
ENSMUSG00000000248.17,0,0,0,2,0,0,1,0,0,0,0,0,80,0,0,11,23,2,0,0,45,7,0,2,0,18,6,0
ENSMUSG00000000253.14,83,36,215,158,137,0,17,118,28,37,11,67,105,11,75,4,38,61,19,5,111,80,15,81,18,154,156,173
ENSMUSG00000000263.16,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266.12,298,189,405,441,223,113,765,467,272,251,163,462,770,143,277,609,231,133,168,54,678,321,389,343,269,271,219,371
ENSMUSG00000000275.17,1839,653,837,1136,714,602,1164,1377,1295,983,984,1250,1335,453,847,1196,1134,1299,446,219,1747,1136,1248,1509,465,919,2132,984
ENSMUSG00000000276.12,115,74,239,130,156,8,133,96,78,104,98,119,62,96,218,86,117,205,86,4,299,106,132,124,117,87,295,285
ENSMUSG00000000278.11,320,174,417,390,326,102,425,516,412,231,312,432,639,201,502,505,428,170,161,91,369,494,196,213,140,497,335,503
ENSMUSG00000000282.13,500,138,455,406,324,93,250,264,503,229,283,273,526,115,460,322,437,271,75,71,309,216,163,425,80,354,435,426
ENSMUSG00000000290.14,6,0,0,0,6,0,30,5,9,0,4,4,42,0,0,10,0,5,6,0,0,2,0,8,14,0,45,2
ENSMUSG00000000295.14,315,60,806,417,357,72,233,365,310,158,245,286,304,249,511,215,298,301,132,22,522,351,263,206,97,457,366,702
ENSMUSG00000000296.9,186,31,142,194,164,0,102,129,97,85,138,111,188,44,146,113,135,161,52,19,406,77,82,164,38,212,136,224
ENSMUSG00000000301.17,5,26,16,39,30,75,14,13,13,27,37,19,23,9,46,18,25,31,12,9,18,15,20,3,0,26,69,36
ENSMUSG00000000303.14,7626,4315,9017,8675,5518,1752,6003,8963,4466,3521,2695,7884,14770,4235,7729,5337,3284,9076,2836,868,12110,5836,5272,7561,3191,7610,16594,8090
ENSMUSG00000000305.13,26,2,36,16,8,32,46,26,29,23,10,12,72,12,52,30,59,44,24,0,50,2,0,20,13,14,49,12
ENSMUSG00000000308.15,2127,990,1500,2179,1205,641,1526,2355,1910,758,1092,2090,3911,1272,1550,1953,2112,891,827,385,2952,2082,1101,1895,557,2106,1348,1732
ENSMUSG00000000317.12,2,5,27,19,16,4,11,39,3,9,0,25,2,0,31,5,43,0,0,1,12,22,13,0,10,5,42,31
ENSMUSG00000000318.17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0
ENSMUSG00000000320.11,100,25,68,25,11,21,17,20,47,0,16,25,160,13,13,22,11,32,6,0,47,10,0,56,33,20,64,29
ENSMUSG00000000326.14,474,410,589,573,461,110,534,627,716,361,407,456,641,340,523,546,558,431,227,105,807,490,547,531,251,564,748,525
ENSMUSG00000000339.15,266,91,375,356,277,45,149,419,296,88,104,295,311,125,336,225,293,220,81,18,371,307,101,266,145,392,276,426
ENSMUSG00000000340.11,455,228,564,435,316,64,255,553,605,86,368,419,364,253,462,305,315,352,128,79,572,277,170,303,91,445,486,473
ENSMUSG00000000346.10,1529,674,696,1233,739,565,1227,1358,1181,771,1447,1148,1290,1099,1133,954,1353,786,643,291,1937,814,1071,1194,535,1273,1096,1027
ENSMUSG00000000355.14,169,14,100,274,118,190,171,312,166,165,108,295,308,85,101,195,213,101,122,1,368,233,193,129,84,243,162,236
ENSMUSG00000000359.4,1,13,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000000365.10,40,0,0,9,4,0,30,7,8,0,0,0,0,0,14,13,21,5,13,0,35,28,0,8,0,7,15,7
ENSMUSG00000000374.9,1217,342,1022,967,749,408,779,1048,837,519,656,731,1145,503,955,644,754,737,378,98,1121,910,309,1119,351,708,1155,1106
ENSMUSG00000000378.16,243,56,275,195,170,57,137,213,114,79,145,151,117,103,254,128,168,156,75,17,150,97,83,127,31,180,336,308
ENSMUSG00000000381.11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
ENSMUSG00000000384.16,378,258,531,595,421,109,184,367,265,275,269,368,398,402,509,236,266,469,172,39,753,379,342,387,259,500,788,568
ENSMUSG00000000385.9,4,0,0,17,0,14,14,16,12,23,0,14,24,0,0,44,2,0,2,0,0,2,0,12,0,0,40,5
ENSMUSG00000000386.19,84,5,26,11,10,9,19,0,5,61,49,36,27,31,9,33,8,36,5,0,53,3,14,43,3,23,112,0
ENSMUSG00000000392.18,0,0,0,2,2,0,13,7,0,0,12,3,2,0,0,1,46,5,0,0,0,0,4,0,39,4,0,0
ENSMUSG00000000394.16,0,0,0,0,0,0,7,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ENSMUSG00000000399.11,569,254,665,907,590,290,465,778,485,347,269,686,1064,500,756,553,429,482,260,85,1169,604,477,595,210,794,722,763
ENSMUSG00000000402.3,141,40,443,325,308,56,354,524,448,82,276,431,339,87,455,338,699,40,89,56,440,173,98,105,39,337,94,480
ENSMUSG00000000409.15,6,0,121,60,42,0,25,27,20,0,12,10,5,3,93,10,9,27,1,0,23,38,13,21,42,55,11,63
ENSMUSG00000000411.8,1,0,0,0,0,0,0,0,15,0,6,0,0,0,0,4,4,28,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000416.17,102,64,187,256,180,158,248,209,134,50,180,123,725,71,151,156,160,45,130,25,187,233,47,87,104,169,85,233
ENSMUSG00000000420.16,857,410,1315,774,873,396,833,1052,604,366,417,918,1493,466,953,707,638,869,339,148,1891,1033,532,831,452,661,1679,1216
ENSMUSG00000000435.2,0,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000000439.10,286,255,546,389,277,61,319,414,311,264,375,349,229,221,481,279,385,323,184,43,378,325,196,385,136,392,570,398
ENSMUSG00000000440.13,18,60,0,23,9,46,24,12,51,76,31,17,27,0,8,1,3,0,29,0,115,3,43,6,10,0,15,0
